"Sample.Size","Mixing","Separation","Strategy","param","Class 1","Class 2","Class 3"
"Small Sample (N=300)","Equal Mix.","Weakly Separated","Pattern Mixture Model","Y4",-92.3242515422619,3.26734959051739,-2.88128092011971
"Small Sample (N=300)","Equal Mix.","Weakly Separated","EMS-MVN.","Y4",-47.3302514382211,0.798630638315928,0.209329953766621
"Small Sample (N=300)","Equal Mix.","Weakly Separated","MICE-PMM","Y4",-25.3960299039473,0.55652501521045,0.627342825746477
"Small Sample (N=300)","Equal Mix.","Weakly Separated","MICE-CART","Y4",-1.30205150293085,0.444665052401292,-0.0887323936894227
"Small Sample (N=300)","Equal Mix.","Weakly Separated","MICE-RF","Y4",-14.4133953026931,0.793770298489173,0.111572856073766
"Small Sample (N=300)","Equal Mix.","Strongly Separated","Complete data","Y4",0.383055094646304,-0.13110020579389,-0.0996163658698728
"Small Sample (N=300)","Equal Mix.","Strongly Separated","FIML","Y4",1,1,1
"Small Sample (N=300)","Equal Mix.","Strongly Separated","Pattern Mixture Model","Y4",12.4655157755912,2.99162253062921,-1.94513197271542
"Small Sample (N=300)","Equal Mix.","Strongly Separated","EMS-MVN.","Y4",11.7139763896073,1.13204430516653,0.285247792583446
"Small Sample (N=300)","Equal Mix.","Strongly Separated","MICE-PMM","Y4",5.78977153421678,0.812653954780937,0.947513600639536
"Small Sample (N=300)","Equal Mix.","Strongly Separated","MICE-CART","Y4",2.62404050852161,0.541002529382642,0.421069768133123
"Small Sample (N=300)","Equal Mix.","Strongly Separated","MICE-RF","Y4",4.52403722032077,0.859424443875678,0.431880374266997
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","Complete data","Y4",0.423638315423908,-0.279116046698432,1.02010605452803
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","FIML","Y4",1,1,1
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","Pattern Mixture Model","Y4",-2.49500727711832,3.09819136487288,4.508167540247
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","EMS-MVN.","Y4",1.00925634065774,0.588475657757425,2.34195545069386
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","MICE-PMM","Y4",1.73417611380983,0.266450504476135,2.22128258037803
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","MICE-CART","Y4",2.7018518913184,0.17594571984954,3.02679669610444
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","MICE-RF","Y4",2.27170885238564,0.519558387647577,2.83892749480381
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","Complete data","Y4",-0.00994499034541943,-0.01855525904811,-2.96343595686663
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","FIML","Y4",1,1,1
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","Pattern Mixture Model","Y4",-8.01873005657809,2.29809835017469,-32.5339510198102
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","EMS-MVN.","Y4",-1.74363927647134,0.745694723915196,-12.6940413997719
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","MICE-PMM","Y4",1.06668571287953,0.361620393748593,-6.50957362218476
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","MICE-CART","Y4",1.95639972517166,0.363166821192356,-9.88324577498798
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","MICE-RF","Y4",1.66119003075578,0.53286271237374,-13.334446204254
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","Complete data","Y4",0.0746063161517942,0.0157018510967131,0.00743058347502248
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","FIML","Y4",1,1,1
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","Pattern Mixture Model","Y4",-11.0731880235646,2.13611685050547,-1.05670655780709
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","EMS-MVN.","Y4",-10.5445650116169,0.834750325968214,0.45929665514017
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","MICE-PMM","Y4",-4.9103097840117,0.54180402639965,0.916384814460113
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","MICE-CART","Y4",-1.38580974098615,0.293290038713445,0.298806442199257
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","MICE-RF","Y4",-2.33753463557353,0.611689799082758,0.410994004994979
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","Complete data","Y4",0.455604719764012,-0.0367904410912547,0.0118330533910996
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","FIML","Y4",1,1,1
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","Pattern Mixture Model","Y4",46.524928885117,2.44984533749101,-1.24395317837496
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","EMS-MVN.","Y4",51.2874380530973,1.04777014811209,0.439860197340088
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","MICE-PMM","Y4",21.064907079646,0.720621016155576,1.01883097678937
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","MICE-CART","Y4",8.42048230088496,0.298209500961917,0.411000754995888
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","MICE-RF","Y4",13.102517699115,0.603775699418214,0.460950528334331
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","Complete data","Y4",0.0736040609137056,0.000870462076381217,-0.355739768584715
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","FIML","Y4",1,1,1
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","Pattern Mixture Model","Y4",-3.83969238504697,1.15080499772158,-7.09463161842046
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","EMS-MVN.","Y4",-0.0974433670006666,0.699561526998774,-1.19558321776625
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","MICE-PMM","Y4",1.48542646744246,0.277018981111978,-0.301768753384258
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","MICE-CART","Y4",1.12255692887078,0.201300101803089,-1.49935961366078
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","MICE-RF","Y4",1.47931407755041,0.459481374850057,-1.56025655104745
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","Complete data","Y4",0.0512795719718945,-0.0369765481530542,-0.0278437609182877
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","FIML","Y4",1,1,1
